# seed=41, state_100.pt, calibration trajectory dump
# source: /root/vt-refine/log/seed_sweep/00581_2026-04-25_18-51-11_42_state_100/seed41_calibration.npz
# trajectory length: 240
# plug.z   global: min=-0.01583  max=+0.10815  argmax_step=122
# socket.z global: min=-0.00013  max=+0.02332
# plug.z late phase (150-239): min=+0.00951  max=+0.04266  median=+0.01455

step    plug.z    sock.z               plug.xy               sock.xy
   0  +0.00096  +0.00096  (-0.0091,+0.0514)  (+0.0073,-0.0522)
  12  -0.01583  -0.00013  (-0.0091,+0.0516)  (+0.0073,-0.0522)
  24  -0.01583  -0.00013  (-0.0091,+0.0516)  (+0.0073,-0.0522)
  36  -0.01583  -0.00013  (-0.0091,+0.0516)  (+0.0073,-0.0522)
  48  -0.01583  +0.00050  (-0.0091,+0.0516)  (+0.0055,-0.0521)
  60  -0.01583  +0.00142  (-0.0091,+0.0516)  (+0.0059,-0.0529)
  72  -0.01583  +0.00113  (-0.0091,+0.0516)  (+0.0059,-0.0530)
  84  -0.01581  +0.00125  (-0.0164,+0.0518)  (+0.0059,-0.0530)
  96  +0.01968  +0.00143  (-0.0155,+0.0444)  (+0.0058,-0.0530)
 108  +0.08611  +0.00208  (-0.0182,+0.0170)  (+0.0059,-0.0531)
 120  +0.10599  +0.01432  (-0.0133,+0.0102)  (+0.0017,-0.0248)
 132  +0.07880  +0.00236  (-0.0141,-0.0036)  (-0.0057,-0.0076)
 144  +0.05493  +0.00087  (-0.0082,-0.0052)  (-0.0052,-0.0063)
 156  +0.04010  +0.00176  (-0.0111,-0.0015)  (-0.0055,-0.0061)
 168  +0.03748  +0.00366  (-0.0156,-0.0009)  (-0.0057,-0.0060)
 180  +0.02625  +0.00452  (-0.0157,-0.0093)  (-0.0071,-0.0039)
 192  +0.00963  +0.00546  (-0.0116,-0.0045)  (-0.0072,-0.0043)
 204  +0.01555  +0.00582  (-0.0143,-0.0055)  (-0.0079,-0.0046)
 216  +0.00989  +0.00510  (-0.0123,-0.0039)  (-0.0078,-0.0046)
 228  +0.01441  +0.00434  (-0.0132,-0.0029)  (-0.0091,-0.0039)
 239  +0.00951  +0.00510  (-0.0130,-0.0035)  (-0.0092,-0.0040)
